"gender","groupName","outfitKey","topId","topName","bottomId","bottomName","priceTotal","thumbnailUrl","color1","color2","color3","topUrl","bottomUrl"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323603290","SA | 60's Chiffon Party Dress (Baby Blue)","11323566004","SA | 60's Chiffon Party Dress (Peach)","14","https://tr.rbxcdn.com/180DAY-b6364f83cce651052f4e0c59e86b4554/420/420/Shirt/Png/noFilter","#ABAAA6","#777F83","#CACECC","https://www.roblox.com/catalog/11323603290","https://www.roblox.com/catalog/11323566004"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323603290","SA | 60's Chiffon Party Dress (Baby Blue)","11323561269","SA | 60's Chiffon Party Dress (Red)","14","https://tr.rbxcdn.com/180DAY-b6364f83cce651052f4e0c59e86b4554/420/420/Shirt/Png/noFilter","#ABAAA6","#777F83","#CACECC","https://www.roblox.com/catalog/11323603290","https://www.roblox.com/catalog/11323561269"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323601911","SA | 60's Chiffon Party Dress (Noir)","11323556106","SA | 60's Chiffon Party Dress (Noir)","14","https://tr.rbxcdn.com/180DAY-d909f573b5e94b67f5abd7c07bd86def/420/420/Shirt/Png/noFilter","#ABAAA6","#4A4A48","#82827F","https://www.roblox.com/catalog/11323601911","https://www.roblox.com/catalog/11323556106"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323601911","SA | 60's Chiffon Party Dress (Noir)","11323562249","SA | 60's Chiffon Party Dress (Tangerine)","14","https://tr.rbxcdn.com/180DAY-d909f573b5e94b67f5abd7c07bd86def/420/420/Shirt/Png/noFilter","#ABAAA6","#4A4A48","#82827F","https://www.roblox.com/catalog/11323601911","https://www.roblox.com/catalog/11323562249"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323601911","SA | 60's Chiffon Party Dress (Noir)","11323571173","SA | 60's Chiffon Party Dress (Almond Green)","14","https://tr.rbxcdn.com/180DAY-d909f573b5e94b67f5abd7c07bd86def/420/420/Shirt/Png/noFilter","#ABAAA6","#4A4A48","#82827F","https://www.roblox.com/catalog/11323601911","https://www.roblox.com/catalog/11323571173"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323601911","SA | 60's Chiffon Party Dress (Noir)","11323557282","SA | 60's Chiffon Party Dress (Baby Blue)","14","https://tr.rbxcdn.com/180DAY-d909f573b5e94b67f5abd7c07bd86def/420/420/Shirt/Png/noFilter","#ABAAA6","#4A4A48","#82827F","https://www.roblox.com/catalog/11323601911","https://www.roblox.com/catalog/11323557282"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323601911","SA | 60's Chiffon Party Dress (Noir)","11323566004","SA | 60's Chiffon Party Dress (Peach)","14","https://tr.rbxcdn.com/180DAY-d909f573b5e94b67f5abd7c07bd86def/420/420/Shirt/Png/noFilter","#ABAAA6","#4A4A48","#82827F","https://www.roblox.com/catalog/11323601911","https://www.roblox.com/catalog/11323566004"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323601911","SA | 60's Chiffon Party Dress (Noir)","11323561269","SA | 60's Chiffon Party Dress (Red)","14","https://tr.rbxcdn.com/180DAY-d909f573b5e94b67f5abd7c07bd86def/420/420/Shirt/Png/noFilter","#ABAAA6","#4A4A48","#82827F","https://www.roblox.com/catalog/11323601911","https://www.roblox.com/catalog/11323561269"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323609311","SA | 60's Chiffon Party Dress (Peach)","11323556106","SA | 60's Chiffon Party Dress (Noir)","14","https://tr.rbxcdn.com/180DAY-824d51c213502ae9eed57b83893083ff/420/420/Shirt/Png/noFilter","#ABAAA6","#856B66","#928A87","https://www.roblox.com/catalog/11323609311","https://www.roblox.com/catalog/11323556106"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323609311","SA | 60's Chiffon Party Dress (Peach)","11323562249","SA | 60's Chiffon Party Dress (Tangerine)","14","https://tr.rbxcdn.com/180DAY-824d51c213502ae9eed57b83893083ff/420/420/Shirt/Png/noFilter","#ABAAA6","#856B66","#928A87","https://www.roblox.com/catalog/11323609311","https://www.roblox.com/catalog/11323562249"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323609311","SA | 60's Chiffon Party Dress (Peach)","11323571173","SA | 60's Chiffon Party Dress (Almond Green)","14","https://tr.rbxcdn.com/180DAY-824d51c213502ae9eed57b83893083ff/420/420/Shirt/Png/noFilter","#ABAAA6","#856B66","#928A87","https://www.roblox.com/catalog/11323609311","https://www.roblox.com/catalog/11323571173"
"unclassified","Style Abby","sa 60 s chiffon party dress","11323609311","SA | 60's Chiffon Party Dress (Peach)","11323557282","SA | 60's Chiffon Party Dress (Baby Blue)","14","https://tr.rbxcdn.com/180DAY-824d51c213502ae9eed57b83893083ff/420/420/Shirt/Png/noFilter","#ABAAA6","#856B66","#928A87","https://www.roblox.com/catalog/11323609311","https://www.roblox.com/catalog/11323557282"
